topic,question,answer,category,risk_level,tags
Common Cold,What are common symptoms of a cold?,"Common cold symptoms include runny or stuffy nose, sore throat, sneezing, mild cough, and low-grade fever. Most colds improve within 7–10 days. Seek care if symptoms are severe or worsen.",self-care,low,"cold, runny nose, sore throat, cough"
Common Cold,How can I treat a cold at home?,"Home care includes rest, hydration, saline nasal spray, honey for cough (age > 1), and OTC pain/fever reducers as directed. Avoid antibiotics unless prescribed.",self-care,low,"rest, fluids, OTC"
Influenza,How is flu different from a cold?,"Flu often starts suddenly with fever, body aches, fatigue, and cough. Colds are usually milder. People at higher risk (older adults, pregnancy, chronic disease) may need medical advice early.",education,medium,"flu vs cold, fever, aches"
Influenza,When should I see a doctor for flu symptoms?,"Seek medical advice if you have trouble breathing, chest pain, confusion, dehydration, persistent high fever, or if you’re in a high-risk group. Antivirals work best when started early.",triage,high,"urgent, red flags"
Respiratory,I have fever and cough—what should I do?,"If you have fever and cough, rest and hydrate. Consider testing for contagious infections per local guidance. Seek urgent care for breathing difficulty, chest pain, blue lips, or severe weakness.",triage,high,"fever, cough, testing"
Hypertension,What is high blood pressure?,"High blood pressure (hypertension) is when blood pressure stays elevated over time, increasing risk for heart disease and stroke. Lifestyle changes and medications can help manage it.",education,medium,"BP, hypertension"
Hypertension,What lifestyle changes help reduce blood pressure?,"Helpful changes include reducing sodium, eating fruits/vegetables (DASH-style), regular exercise, limiting alcohol, quitting smoking, managing stress, and maintaining a healthy weight.",self-care,medium,"DASH, sodium, exercise"
Hypertension,When is high blood pressure an emergency?,"Seek emergency care if you have very high blood pressure with symptoms like chest pain, severe headache, shortness of breath, weakness/numbness, vision changes, or confusion.",triage,high,"ER, chest pain, neuro"
Diabetes,What are signs of high blood sugar?,"High blood sugar can cause increased thirst, frequent urination, fatigue, blurry vision, and slow-healing wounds. If you have very high readings with nausea/vomiting or confusion, seek urgent care.",education,high,"hyperglycemia, thirst"
Diabetes,How can I manage type 2 diabetes day to day?,"Day-to-day management often includes balanced meals, regular activity, monitoring glucose as recommended, taking medications as prescribed, and regular follow-ups. Work with a clinician for a personalized plan.",self-care,medium,"diet, activity, meds"
Diabetes,What are symptoms of low blood sugar?,"Low blood sugar may cause sweating, shakiness, hunger, confusion, irritability, and dizziness. If conscious, use the 15–15 rule (15g fast carbs, recheck in 15 minutes). Seek urgent help if severe.",triage,high,"hypoglycemia, 15-15"
Asthma,What triggers asthma symptoms?,"Common triggers include allergens, viral infections, smoke, exercise, cold air, and strong odors. Identifying triggers and using controller medications as prescribed can help prevent flare-ups.",education,medium,"wheeze, triggers"
Asthma,When is an asthma attack an emergency?,"Seek emergency care if you have severe shortness of breath, trouble speaking, blue lips/face, no relief from rescue inhaler, or worsening symptoms. Follow your asthma action plan if you have one.",triage,high,"ER, rescue inhaler"
GERD,What is GERD and what are typical symptoms?,"GERD is acid reflux that happens frequently. Symptoms include heartburn, sour taste, chest discomfort after meals, and regurgitation. Seek care for trouble swallowing, weight loss, or blood in vomit/stool.",education,medium,"heartburn, reflux"
GERD,What lifestyle changes can help acid reflux?,"Try smaller meals, avoid lying down 2–3 hours after eating, limit trigger foods (spicy/fatty), elevate head of bed, reduce alcohol, and maintain a healthy weight.",self-care,medium,"elevate, avoid late meals"
Migraine,What are common migraine symptoms?,"Migraines can cause throbbing headache, nausea, sensitivity to light/sound, and sometimes aura. Track triggers like sleep changes, stress, dehydration, or certain foods.",education,medium,"aura, nausea"
Migraine,When should I seek care for a headache?,"Seek urgent care for sudden 'worst headache,' headache with fever/stiff neck, weakness/numbness, confusion, after head injury, or new headaches after age 50.",triage,high,"red flags, worst headache"
Medication Safety,Can I stop my medication if I feel better?,Do not stop prescription medication without medical guidance. Stopping abruptly can cause rebound symptoms or complications. Discuss a safe plan with your clinician.,safety,high,do not stop abruptly
Medication Safety,What should I do if I missed a dose?,Follow the medication label or clinician instructions. Many meds advise taking it when remembered unless near the next dose. Do not double up unless advised.,safety,medium,missed dose
Mental Health,I feel very anxious—what can I do right now?,"Try slow breathing (inhale 4 seconds, exhale 6), grounding (5-4-3-2-1), and reach out to someone you trust. If anxiety is severe or persistent, seek professional support.",self-care,medium,"breathing, grounding"
Mental Health,I’m thinking about self-harm—what should I do?,"If you are in immediate danger or thinking about self-harm, seek emergency help now: call local emergency services or go to the nearest emergency department. In the U.S., you can call or text 988 for the Suicide & Crisis Lifeline.",triage,high,"988, crisis"
Pediatrics,My child has a fever—when is it urgent?,"Urgency depends on age and symptoms. Seek urgent care for infants under 3 months with fever, trouble breathing, dehydration, seizures, or if the child is very lethargic.",triage,high,infant fever
Allergies,What are signs of a severe allergic reaction?,"Severe allergy (anaphylaxis) may include trouble breathing, swelling of face/throat, hives with dizziness, or fainting. Use epinephrine if prescribed and call emergency services immediately.",triage,high,"anaphylaxis, epinephrine"
Allergies,How can I manage seasonal allergies?,"Common steps include avoiding triggers, keeping windows closed during high pollen, saline rinses, and OTC antihistamines or nasal sprays as directed. Seek advice if symptoms are severe.",self-care,low,"pollen, antihistamine"
Common Cold,Why do I have a runny nose and sore throat?,"Runny nose and sore throat are common with viral colds. Rest, hydrate, and use OTC symptom relief as needed. Seek care if symptoms worsen or you have trouble breathing.",self-care,low,"runny nose, sore throat"
Hypertension,How can I lower my BP without medicine?,"Lifestyle steps like reduced sodium, regular exercise, weight management, and limiting alcohol can lower blood pressure. Some people still need medication—discuss with a clinician.",self-care,medium,"lower BP, lifestyle"
Diabetes,What foods help with blood sugar control?,"A balanced pattern with vegetables, lean protein, whole grains, and fiber helps. Limit sugary drinks and refined carbs. Work with a clinician or dietitian for personalized guidance.",self-care,medium,"fiber, whole grains"
Asthma,I’m wheezing—what should I do?,"Use your rescue inhaler as prescribed and remove triggers if possible. If breathing difficulty is severe, you can’t speak full sentences, or there’s no relief, seek emergency care.",triage,high,"wheezing, rescue inhaler"
GERD,Why do I get heartburn at night?,"Nighttime heartburn may worsen when lying down. Try avoiding meals 2–3 hours before bed, elevating your head, and avoiding trigger foods. Seek care for alarm symptoms.",self-care,medium,"night heartburn, elevate"
Migraine,How do I know if it’s a migraine or tension headache?,Migraines often include nausea and light/sound sensitivity and can be one-sided and throbbing. Tension headaches are usually a tight band-like pain. Seek care for red-flag symptoms.,education,medium,tension vs migraine
